sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Closed position,981541471,XAUUSD,0.4,Buy,3452.61,3476.06,2025/09/01 04:58:22,2025/09/01 05:43:23,2025/09/01,2025/09/01,938,0,-2.8,935.2,3476.1,3444.55,234.5,Win,0.75,6,,deusfund-sqx1
Closed position,981835615,XAUUSD,0.4,Buy,3483.81,3475.26,2025/09/01 09:16:52,2025/09/01 10:12:17,2025/09/01,2025/09/01,-342,0,-2.8,-344.8,3507.22,3475.67,-85.5,Loss,0.92,6,,deusfund-sqx1
Closed position,981542716,XAUUSD,1,Buy,3455.13,3476.94,2025/09/01 04:58:32,2025/09/01 12:00:00,2025/09/01,2025/09/01,2181,0,-7,2174,0,3444.71,218.1,Win,7.02,202501025,,deusfund-sqx2
Closed position,982806748,XAUUSD,0.4,Buy,3483.8,3507.33,2025/09/02 03:29:15,2025/09/02 04:47:14,2025/09/02,2025/09/02,941.2,0,-2.8,938.4,3507.22,3475.67,235.3,Win,1.3,6,,deusfund-sqx1
Closed position,981548693,GBPJPY,1,Buy,199.033,199.5,2025/09/01 05:00:08,2025/09/02 10:23:42,2025/09/01,2025/09/02,314.98,7.28,-7,315.26,204.406,198.232,46.7,Win,29.39,202501003,,deusfund-sqx2
Closed position,982860909,XAUUSD,1,Buy,3489.95,3479.18,2025/09/02 04:16:33,2025/09/02 10:50:20,2025/09/02,2025/09/02,-1077,0,-7,-1084,0,3479.68,-107.7,Loss,6.56,202501025,,deusfund-sqx2
Closed position,981469170,GBPJPY,1,Buy,199.02,199.243,2025/09/01 03:41:04,2025/09/02 10:52:46,2025/09/01,2025/09/02,150.09,7.28,-7,150.37,202.966,197.866,22.3,Win,31.2,202501002,,deusfund-sqx2
Closed position,982987278,BTCUSD,0.8,Buy,109933.13,109275.5,2025/09/02 05:51:32,2025/09/02 15:38:22,2025/09/02,2025/09/02,-526.1,0,0,-526.1,0,109277.67,-657.6,Loss,9.78,1001,,deusfund-sqx1
Closed position,982793841,USDJPY,1,Buy,147.297,148.22,2025/09/02 03:11:14,2025/09/02 17:05:14,2025/09/02,2025/09/02,622.72,0,-7,615.72,149.354,147.077,92.3,Win,13.9,202501013,,deusfund-sqx2
Closed position,981501466,USDJPY,1,Buy,147.322,148.134,2025/09/01 04:20:01,2025/09/02 17:07:31,2025/09/01,2025/09/02,548.15,6.17,-7,547.32,149.826,145.849,81.2,Win,36.79,202501014,,deusfund-sqx2
Closed position,982798805,USDJPY,1,Buy,147.328,148.018,2025/09/02 03:17:31,2025/09/02 17:19:27,2025/09/02,2025/09/02,466.16,0,-7,459.16,150.268,147.013,69.0,Win,14.03,202501020,,deusfund-sqx2
Closed position,981501460,USDJPY,1,Buy,147.322,147.995,2025/09/01 04:20:01,2025/09/02 17:24:27,2025/09/01,2025/09/02,454.75,6.17,-7,453.92,149.09,146.143,67.3,Win,37.07,2025010019,,deusfund-sqx2
Closed position,984207309,XAUUSD,1,Buy,3508.82,3511.25,2025/09/02 17:44:44,2025/09/02 18:00:00,2025/09/02,2025/09/02,243,0,-7,236,3635.04,3497.79,24.3,Win,0.25,1006,,deusfund-sqx1
Closed position,984207217,XAUUSD,1,Buy,3508.82,3520.5,2025/09/02 17:44:44,2025/09/02 19:00:00,2025/09/02,2025/09/02,1168,0,-7,1161,0,3494.54,116.8,Win,1.25,1007,,deusfund-sqx1
Closed position,984106309,XAUUSD,0.4,Buy,3498.37,3521.35,2025/09/02 17:08:40,2025/09/02 19:00:19,2025/09/02,2025/09/02,919.2,0,-2.8,916.4,3521.36,3489.81,229.8,Win,1.86,6,,deusfund-sqx1
Closed position,983605925,USTEC,5,Sell,23197.2,23289.9,2025/09/02 13:31:40,2025/09/02 23:09:01,2025/09/02,2025/09/02,-463.5,0,0,-463.5,22849.24,23289.41,-92.7,Loss,9.62,2,,deusfund-sqx1
Closed position,984207297,XAUUSD,1,Buy,3508.82,3529.74,2025/09/02 17:44:44,2025/09/03 03:00:00,2025/09/02,2025/09/03,2092,-55.18,-7,2029.82,3824.52,3495.73,209.2,Win,9.25,202501027,,deusfund-sqx2
Closed position,984207324,XAUUSD,1,Buy,3508.82,3529.74,2025/09/02 17:44:44,2025/09/03 03:00:00,2025/09/02,2025/09/03,2092,-55.18,-7,2029.82,3635.04,3497.79,209.2,Win,9.25,202501023,,deusfund-sqx2
Closed position,984893882,USDJPY,1,Buy,148.822,148.513,2025/09/03 04:20:13,2025/09/03 08:24:38,2025/09/03,2025/09/03,-208.06,0,-7,-215.06,151.354,147.336,-30.9,Loss,4.07,202501014,,deusfund-sqx2
Closed position,984875036,XAUUSD,0.4,Buy,3537.04,3528.84,2025/09/03 04:00:13,2025/09/03 08:55:29,2025/09/03,2025/09/03,-328,0,-2.8,-330.8,3560.56,3529.01,-82.0,Loss,4.92,6,,deusfund-sqx1
Closed position,984893883,USDJPY,1,Buy,148.822,148.473,2025/09/03 04:20:13,2025/09/03 12:45:33,2025/09/03,2025/09/03,-235.06,0,-7,-242.06,150.908,148.473,-34.9,Loss,8.42,202501013,,deusfund-sqx2
Closed position,984893881,USDJPY,1,Buy,148.822,148.309,2025/09/03 04:20:13,2025/09/03 17:00:04,2025/09/03,2025/09/03,-345.9,0,-7,-352.9,151.8,148.319,-51.3,Loss,12.66,202501020,,deusfund-sqx2
Closed position,985260426,XAUUSD,0.4,Buy,3538.91,3562.29,2025/09/03 11:06:11,2025/09/03 17:23:52,2025/09/03,2025/09/03,935.2,0,-2.8,932.4,3562.31,3530.76,233.8,Win,6.29,6,,deusfund-sqx1
