sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Closed position,968239969,USDJPY,1,Buy,147.241,147.286,2025/08/18 01:00:19,2025/08/20 09:12:10,2025/08/18,2025/08/20,30.55,12.31,-7,35.86,149.3,146.931,4.5,Win,56.2,202501013,,deusfund-sqx2
Closed position,969301501,USDJPY,1,Buy,147.943,147.198,2025/08/19 02:09:53,2025/08/20 09:16:50,2025/08/19,2025/08/20,-506.12,6.16,-7,-506.96,150.309,147.202,-74.5,Loss,31.12,202501015,,deusfund-sqx2
Closed position,971309559,USTEC,5,Sell,22966,23082.9,2025/08/20 17:46:33,2025/08/20 18:18:01,2025/08/20,2025/08/20,-584.5,0,0,-584.5,22852,23081.66,-116.9,Loss,0.52,1,,deusfund-sqx1
Closed position,971199443,USTEC,5,Sell,23104.3,23181.6,2025/08/20 16:53:42,2025/08/20 18:38:00,2025/08/20,2025/08/20,-386.5,0,0,-386.5,22756.87,23177.99,-77.3,Loss,1.74,2,,deusfund-sqx1
Closed position,971449354,USTEC,8,Buy,23172.9,23256.6,2025/08/20 19:17:27,2025/08/20 22:45:00,2025/08/20,2025/08/20,669.6,0,0,669.6,0,20855.31,83.7,Win,3.46,5,,deusfund-sqx1
Closed position,971013997,GBPJPY,1,Sell,198.73,198.214,2025/08/20 15:03:50,2025/08/20 22:54:03,2025/08/20,2025/08/20,350.27,0,-7,343.27,189.393,201.515,51.6,Win,7.84,202501002,,deusfund-sqx2
Closed position,971643248,XAUUSD,1,Buy,3351.98,3342.72,2025/08/21 01:05:35,2025/08/21 03:25:53,2025/08/21,2025/08/21,-926,0,-7,-933,0,3342.71,-92.6,Loss,2.34,202501025,,deusfund-sqx2
Closed position,972454278,USTEC,8,Buy,23241.4,23137.8,2025/08/21 17:23:56,2025/08/21 22:45:00,2025/08/21,2025/08/21,-828.8,0,0,-828.8,0,20917.05,-103.6,Loss,5.35,5,,deusfund-sqx1
Closed position,969301502,USDJPY,1,Buy,147.943,148.347,2025/08/19 02:09:53,2025/08/22 17:00:02,2025/08/19,2025/08/22,272.33,30.81,-7,296.14,150.457,146.463,40.4,Win,86.84,202501014,,deusfund-sqx2
Closed position,969301504,USDJPY,1,Buy,147.943,148.118,2025/08/19 02:09:53,2025/08/22 17:00:04,2025/08/19,2025/08/22,118.15,30.81,-7,141.96,149.717,146.758,17.5,Win,86.84,2025010019,,deusfund-sqx2
Closed position,971912019,USDJPY,1,Buy,147.588,148.14,2025/08/21 10:00:43,2025/08/22 17:00:04,2025/08/21,2025/08/22,372.62,6.13,-7,371.75,149.654,147.277,55.2,Win,30.99,202501013,,deusfund-sqx2
Closed position,973540691,USTEC,5,Buy,23256,23381,2025/08/22 16:45:12,2025/08/22 17:00:40,2025/08/22,2025/08/22,625,0,0,625,23372.95,23140.39,125,Win,0.26,1,,deusfund-sqx1
Closed position,973464419,GBPJPY,1,Buy,199.477,198.673,2025/08/22 16:05:30,2025/08/22 17:10:58,2025/08/22,2025/08/22,-545.86,0,-7,-552.86,204.863,198.677,-80.4,Loss,1.09,202501003,,deusfund-sqx2
Closed position,973229960,GBPJPY,1,Buy,199.427,198.358,2025/08/22 12:22:14,2025/08/22 17:19:28,2025/08/22,2025/08/22,-727.99,0,-7,-734.99,203.377,198.277,-106.9,Loss,4.95,202501002,,deusfund-sqx2
Closed position,973584625,USTEC,16,Buy,23351.35,23445.2,2025/08/22 17:00:09,2025/08/22 17:22:19,2025/08/22,2025/08/22,1501.6,0,0,1501.6,24752.7,22884.57,93.8,Win,0.37,202501010,,deusfund-sqx2
Closed position,973584107,USTEC,8,Buy,23344.4,23434.8,2025/08/22 17:00:09,2025/08/22 17:22:36,2025/08/22,2025/08/22,723.2,0,0,723.2,0,23252.39,90.4,Win,0.37,7,,deusfund-sqx1
Closed position,973584109,USTEC,8,Buy,23344.4,23434.8,2025/08/22 17:00:09,2025/08/22 17:22:36,2025/08/22,2025/08/22,723.2,0,0,723.2,0,23252.39,90.4,Win,0.37,8,,deusfund-sqx1
Closed position,973584124,USTEC,8,Buy,23344.4,23427.7,2025/08/22 17:00:09,2025/08/22 17:22:57,2025/08/22,2025/08/22,666.4,0,0,666.4,0,22635.33,83.3,Win,0.38,202501011,,deusfund-sqx2
Closed position,973622368,XAUUSD,1,Buy,3352.38,3373.37,2025/08/22 17:02:42,2025/08/22 18:00:25,2025/08/22,2025/08/22,2099,0,-7,2092,0,3343.44,209.9,Win,0.96,202501021,,deusfund-sqx2
Closed position,973622277,XAUUSD,1,Buy,3352.38,3368.06,2025/08/22 17:02:42,2025/08/22 19:00:00,2025/08/22,2025/08/22,1568,0,-7,1561,0,3342.97,156.8,Win,1.96,1007,,deusfund-sqx1
Closed position,973575521,USTEC,8,Buy,23246.6,23480.7,2025/08/22 17:00:04,2025/08/22 22:45:00,2025/08/22,2025/08/22,1872.8,0,0,1872.8,0,20918.95,234.1,Win,5.75,5,,deusfund-sqx1
Closed position,973834041,USTEC,8,Buy,23569.9,23480.7,2025/08/22 18:03:21,2025/08/22 22:45:00,2025/08/22,2025/08/22,-713.6,0,0,-713.6,0,21212.96,-89.2,Loss,4.69,9,,deusfund-sqx1
Closed position,973648421,BTCUSD,0.8,Buy,114789,114985.25,2025/08/22 17:06:44,2025/08/24 01:00:00,2025/08/22,2025/08/24,157,-155.86,0,1.14,0,114174.41,196.2,Win,31.89,1001,,deusfund-sqx1
Closed position,973607768,XAUUSD,1,Buy,3349.96,3366.73,2025/08/22 17:01:13,2025/08/25 01:37:15,2025/08/22,2025/08/25,1677,-52.78,-7,1617.22,0,3342.07,167.7,Win,56.6,202501026,,deusfund-sqx2
Closed position,973622294,XAUUSD,1,Buy,3352.38,3367.3,2025/08/22 17:02:42,2025/08/25 02:00:00,2025/08/22,2025/08/25,1492,-52.78,-7,1432.22,3653.99,3344.05,149.2,Win,56.96,202501027,,deusfund-sqx2
